code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock,detect_samples,mean_detect
K3_R1_2,detect,flip,0,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.0017,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.005,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99964956
K3_R1_2,detect,flip,0.0083,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.0117,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99888889
K3_R1_2,detect,flip,0.015,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99998601
K3_R1_2,detect,flip,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.0183,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,flip,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99992317
K3_R1_2,detect,flip,0.0233,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99984818
K3_R1_2,detect,flip,0.0267,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99959762
K3_R1_2,detect,flip,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99890918
K3_R1_2,detect,flip,0.0333,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99726566
K3_R1_2,detect,flip,0.0367,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99432502
K3_R1_2,detect,flip,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.98691304
K3_R1_2,detect,flip,0.0467,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.96940394
K3_R1_2,detect,flip,0.0533,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.93760432
K3_R1_2,detect,flip,0.06,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.90506541
K3_R1_2,detect,flip,0.07,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.84261848
K3_R1_2,detect,flip,0.08,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.78437839
K3_R1_2,detect,flip,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.69841899
K3_R1_2,detect,flip,0.1033,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.5158282
K3_R1_2,detect,flip,0.1167,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.33197887
K3_R1_2,detect,flip,0.13,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.17998749
K3_R1_2,detect,flip,0.1467,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.081151958
K3_R1_2,detect,flip,0.1633,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.014011017
K3_R1_2,detect,flip,0.18,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.010848051
K3_R1_2,detect,flip,0.2033,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.0041974009
K3_R1_2,detect,flip,0.2267,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0
K3_R1_2,detect,flip,0.25,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.0002207598
K3_R1_2,detect,insert,0,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,insert,0.0017,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99888889
K3_R1_2,detect,insert,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,insert,0.005,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,insert,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99888889
K3_R1_2,detect,insert,0.0083,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,insert,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99888889
K3_R1_2,detect,insert,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,insert,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,insert,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,0.99888889
K3_R1_2,detect,insert,0.0233,0.01,0.01,0.01,0.01,24,8,30,,,,,,910,1
K3_R1_2,detect,insert,0.0267,0.01,0.01,0.01,0.01,24,8,30,,,,,,928,0.99995734
K3_R1_2,detect,insert,0.03,0.01,0.01,0.01,0.01,24,8,30,,,,,,930,0.99974372
K3_R1_2,detect,insert,0.035,0.01,0.01,0.01,0.01,24,8,30,,,,,,930,0.99977148
K3_R1_2,detect,insert,0.04,0.01,0.01,0.01,0.01,24,8,30,,,,,,930,0.99915043
K3_R1_2,detect,insert,0.045,0.01,0.01,0.01,0.01,24,8,30,,,,,,930,0.99767972
K3_R1_2,detect,insert,0.05,0.01,0.01,0.01,0.01,24,8,30,,,,,,931,0.9953407
K3_R1_2,detect,insert,0.055,0.01,0.01,0.01,0.01,24,8,30,,,,,,942,0.99155434
K3_R1_2,detect,insert,0.06,0.01,0.01,0.01,0.01,24,8,30,,,,,,959,0.98350889
K3_R1_2,detect,insert,0.0667,0.01,0.01,0.01,0.01,24,8,30,,,,,,960,0.97760453
K3_R1_2,detect,insert,0.0733,0.01,0.01,0.01,0.01,24,8,30,,,,,,960,0.95068031
K3_R1_2,detect,insert,0.08,0.01,0.01,0.01,0.01,24,8,30,,,,,,960,0.92416526
K3_R1_2,detect,insert,0.09,0.01,0.01,0.01,0.01,24,8,30,,,,,,984,0.86298293
K3_R1_2,detect,insert,0.1,0.01,0.01,0.01,0.01,24,8,30,,,,,,990,0.74960216
K3_R1_2,detect,insert,0.11,0.01,0.01,0.01,0.01,24,8,30,,,,,,990,0.68604986
K3_R1_2,detect,insert,0.1267,0.01,0.01,0.01,0.01,24,8,30,,,,,,1020,0.47331773
K3_R1_2,detect,insert,0.1433,0.01,0.01,0.01,0.01,24,8,30,,,,,,1020,0.33150941
K3_R1_2,detect,insert,0.16,0.01,0.01,0.01,0.01,24,8,30,,,,,,1048,0.20127837
K3_R1_2,detect,insert,0.18,0.01,0.01,0.01,0.01,24,8,30,,,,,,1057,0.11623947
K3_R1_2,detect,insert,0.2,0.01,0.01,0.01,0.01,24,8,30,,,,,,1080,0.038081144
K3_R1_2,detect,insert,0.22,0.01,0.01,0.01,0.01,24,8,30,,,,,,1108,0.02698179
K3_R1_2,detect,insert,0.2467,0.01,0.01,0.01,0.01,24,8,30,,,,,,1124,0.01155403
K3_R1_2,detect,insert,0.2733,0.01,0.01,0.01,0.01,24,8,30,,,,,,1144,0.0035453091
K3_R1_2,detect,insert,0.3,0.01,0.01,0.01,0.01,24,8,30,,,,,,1170,0.0037605064
K3_R1_2,detect,delete,0,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,delete,0.0017,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,delete,0.0033,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,delete,0.005,0.01,0.01,0.01,0.01,24,8,30,,,,,,900,1
K3_R1_2,detect,delete,0.0067,0.01,0.01,0.01,0.01,24,8,30,,,,,,899,1
K3_R1_2,detect,delete,0.0083,0.01,0.01,0.01,0.01,24,8,30,,,,,,888,1
K3_R1_2,detect,delete,0.01,0.01,0.01,0.01,0.01,24,8,30,,,,,,872,1
K3_R1_2,detect,delete,0.0133,0.01,0.01,0.01,0.01,24,8,30,,,,,,870,1
K3_R1_2,detect,delete,0.0167,0.01,0.01,0.01,0.01,24,8,30,,,,,,870,1
K3_R1_2,detect,delete,0.02,0.01,0.01,0.01,0.01,24,8,30,,,,,,870,1
