code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,matched,flip,0,0,0.01,0.01,0.01,40,0.999939,0.000061,0.000000,0.724979
K3_R1_2,matched,flip,0.004,0.004,0.01,0.01,0.01,40,0.998689,0.001201,0.000741,0.637507
K3_R1_2,matched,flip,0.008,0.008,0.01,0.01,0.01,40,0.976503,0.017803,0.000000,0.560659
K3_R1_2,matched,flip,0.01,0.01,0.01,0.01,0.01,40,0.942590,0.038855,0.000000,0.525595
K3_R1_2,matched,flip,0.012,0.012,0.01,0.01,0.01,40,0.896557,0.064441,0.000147,0.492662
K3_R1_2,matched,flip,0.014,0.014,0.01,0.01,0.01,40,0.829339,0.095940,0.000000,0.461729
K3_R1_2,matched,flip,0.016,0.016,0.01,0.01,0.01,40,0.774665,0.120980,0.000000,0.432682
K3_R1_2,matched,flip,0.018,0.018,0.01,0.01,0.01,40,0.675938,0.156006,0.000000,0.405409
K3_R1_2,matched,flip,0.02,0.02,0.01,0.01,0.01,40,0.638074,0.163988,0.000000,0.379804
K3_R1_2,matched,flip,0.024,0.024,0.01,0.01,0.01,40,0.452384,0.209693,0.000000,0.333211
K3_R1_2,matched,flip,0.028,0.028,0.01,0.01,0.01,40,0.306502,0.225813,0.000000,0.292177
K3_R1_2,matched,flip,0.032,0.032,0.01,0.01,0.01,40,0.223201,0.220442,0.000000,0.256057
K3_R1_2,matched,flip,0.036,0.036,0.01,0.01,0.01,40,0.162888,0.202371,0.000000,0.224280
K3_R1_2,matched,flip,0.04,0.04,0.01,0.01,0.01,40,0.102607,0.186169,0.000000,0.196338
K3_R1_2,matched,flip,0.045,0.045,0.01,0.01,0.01,40,0.062227,0.163401,0.000000,0.166124
K3_R1_2,matched,flip,0.05,0.05,0.01,0.01,0.01,40,0.040790,0.139058,0.000000,0.140437
K3_R1_2,matched,flip,0.055,0.055,0.01,0.01,0.01,40,0.017468,0.119060,0.000147,0.118728
K3_R1_2,matched,flip,0.06,0.06,0.01,0.01,0.01,40,0.015534,0.101051,0.000000,0.100096
K3_R1_2,matched,flip,0.065,0.065,0.01,0.01,0.01,40,0.006529,0.085854,0.000315,0.084653
K3_R1_2,matched,flip,0.07,0.07,0.01,0.01,0.01,40,0.004271,0.071333,0.000000,0.071085
K3_R1_2,matched,flip,0.075,0.075,0.01,0.01,0.01,40,0.002943,0.060655,0.000000,0.059822
K3_R1_2,matched,flip,0.08,0.08,0.01,0.01,0.01,40,0.001601,0.050577,0.000000,0.050296
K3_R1_2,matched,flip,0.085,0.085,0.01,0.01,0.01,40,0.000800,0.042293,0.000000,0.042247
K3_R1_2,matched,flip,0.09,0.09,0.01,0.01,0.01,40,0.000221,0.035516,0.000000,0.035453
K3_R1_2,matched,flip,0.095,0.095,0.01,0.01,0.01,40,0.000366,0.029711,0.000000,0.029722
K3_R1_2,matched,flip,0.1,0.1,0.01,0.01,0.01,40,0.000330,0.024920,0.000000,0.024894
K3_R1_2,matched,flip,0.11,0.11,0.01,0.01,0.01,40,0.000000,0.017410,0.000203,0.017606
K3_R1_2,matched,flip,0.12,0.12,0.01,0.01,0.01,40,0.000000,0.012127,0.000000,0.012127
K3_R1_2,matched,insert,0,0.01,0,0.01,0.01,40,0.999939,0.000061,0.000000,0.525595
K3_R1_2,matched,insert,0.002,0.01,0.002,0.01,0.01,40,0.998319,0.001592,0.000000,0.525595
K3_R1_2,matched,insert,0.004,0.01,0.004,0.01,0.01,40,0.981475,0.012707,0.000000,0.525595
K3_R1_2,matched,insert,0.006,0.01,0.006,0.01,0.01,40,0.950269,0.032615,0.000202,0.525585
K3_R1_2,matched,insert,0.008,0.01,0.008,0.01,0.01,40,0.901554,0.061285,0.000000,0.525595
K3_R1_2,matched,insert,0.01,0.01,0.01,0.01,0.01,40,0.838241,0.098312,0.000000,0.525595
K3_R1_2,matched,insert,0.012,0.01,0.012,0.01,0.01,40,0.773195,0.135021,0.000000,0.525595
K3_R1_2,matched,insert,0.015,0.01,0.015,0.01,0.01,40,0.659483,0.195912,0.000000,0.525595
K3_R1_2,matched,insert,0.018,0.01,0.018,0.01,0.01,40,0.542354,0.257254,0.000000,0.525595
K3_R1_2,matched,insert,0.021,0.01,0.021,0.01,0.01,40,0.432604,0.314463,0.000000,0.525595
K3_R1_2,matched,insert,0.025,0.01,0.025,0.01,0.01,40,0.324761,0.368769,0.000000,0.525595
K3_R1_2,matched,insert,0.029,0.01,0.029,0.01,0.01,40,0.227671,0.416374,0.000000,0.525595
K3_R1_2,matched,insert,0.033,0.01,0.033,0.01,0.01,40,0.163535,0.447012,0.000000,0.525595
K3_R1_2,matched,insert,0.038,0.01,0.038,0.01,0.01,40,0.111960,0.472641,0.000000,0.525595
K3_R1_2,matched,insert,0.043,0.01,0.043,0.01,0.01,40,0.068852,0.493298,0.000000,0.525595
K3_R1_2,matched,insert,0.05,0.01,0.05,0.01,0.01,40,0.033931,0.510554,0.000000,0.525595
K3_R1_2,matched,insert,0.057,0.01,0.057,0.01,0.01,40,0.019588,0.516646,0.000244,0.525583
K3_R1_2,matched,insert,0.064,0.01,0.064,0.01,0.01,40,0.011457,0.520405,0.000000,0.525595
K3_R1_2,matched,insert,0.07,0.01,0.07,0.01,0.01,40,0.005993,0.522999,0.000000,0.525595
K3_R1_2,matched,delete,0,0.01,0.01,0,0.01,40,0.999939,0.000061,0.000000,0.525595
K3_R1_2,matched,delete,0.002,0.01,0.01,0.002,0.01,40,0.997000,0.002350,0.000000,0.525595
K3_R1_2,matched,delete,0.004,0.01,0.01,0.004,0.01,40,0.979892,0.014054,0.000000,0.525595
K3_R1_2,matched,delete,0.006,0.01,0.01,0.006,0.01,40,0.956389,0.029076,0.000000,0.525595
K3_R1_2,matched,delete,0.008,0.01,0.01,0.008,0.01,40,0.908339,0.057953,0.000000,0.525595
K3_R1_2,matched,delete,0.01,0.01,0.01,0.01,0.01,40,0.853549,0.089186,0.000000,0.525595
K3_R1_2,matched,delete,0.012,0.01,0.01,0.012,0.01,40,0.781667,0.130220,0.000000,0.525595
K3_R1_2,matched,delete,0.015,0.01,0.01,0.015,0.01,40,0.673453,0.188688,0.000000,0.525595
K3_R1_2,matched,delete,0.018,0.01,0.01,0.018,0.01,40,0.558108,0.248765,0.000000,0.525595
K3_R1_2,matched,delete,0.021,0.01,0.01,0.021,0.01,40,0.450699,0.304997,0.000000,0.525595
K3_R1_2,matched,delete,0.025,0.01,0.01,0.025,0.01,40,0.356831,0.353211,0.000000,0.525595
K3_R1_2,matched,delete,0.029,0.01,0.01,0.029,0.01,40,0.247334,0.406796,0.000000,0.525595
K3_R1_2,matched,delete,0.033,0.01,0.01,0.033,0.01,40,0.180989,0.439570,0.000000,0.525595
K3_R1_2,matched,delete,0.038,0.01,0.01,0.038,0.01,40,0.124466,0.466239,0.000000,0.525595
K3_R1_2,matched,delete,0.043,0.01,0.01,0.043,0.01,40,0.076710,0.488818,0.000000,0.525595
K3_R1_2,matched,delete,0.05,0.01,0.01,0.05,0.01,40,0.040056,0.506723,0.000000,0.525595
K3_R1_2,matched,delete,0.057,0.01,0.01,0.057,0.01,40,0.023084,0.515082,0.000000,0.525595
K3_R1_2,matched,delete,0.064,0.01,0.01,0.064,0.01,40,0.013668,0.519206,0.000000,0.525595
K3_R1_2,matched,delete,0.07,0.01,0.01,0.07,0.01,40,0.008300,0.521909,0.000000,0.525595
K3_R1_2,matched,erase,0,0.01,0.01,0.01,0,40,0.999939,0.000061,0.000000,0.724979
K3_R1_2,matched,erase,0.006,0.01,0.01,0.01,0.006,40,0.999438,0.000562,0.000000,0.597984
K3_R1_2,matched,erase,0.012,0.01,0.01,0.01,0.012,40,0.992482,0.005756,0.000000,0.492660
K3_R1_2,matched,erase,0.018,0.01,0.01,0.01,0.018,40,0.965794,0.021512,0.000000,0.405409
K3_R1_2,matched,erase,0.022,0.01,0.01,0.01,0.022,40,0.923062,0.041984,0.000000,0.355769
K3_R1_2,matched,erase,0.026,0.01,0.01,0.01,0.026,40,0.885843,0.054910,0.000203,0.312117
K3_R1_2,matched,erase,0.03,0.01,0.01,0.01,0.03,40,0.822040,0.074113,0.000000,0.273540
K3_R1_2,matched,erase,0.035,0.01,0.01,0.01,0.035,40,0.715825,0.099109,0.000000,0.231846
K3_R1_2,matched,erase,0.04,0.01,0.01,0.01,0.04,40,0.629954,0.106547,0.000000,0.196338
K3_R1_2,matched,erase,0.045,0.01,0.01,0.01,0.045,40,0.505907,0.115046,0.000000,0.166124
K3_R1_2,matched,erase,0.05,0.01,0.01,0.01,0.05,40,0.439072,0.110900,0.000370,0.140703
K3_R1_2,matched,erase,0.06,0.01,0.01,0.01,0.06,40,0.276328,0.098671,0.000000,0.100096
K3_R1_2,matched,erase,0.07,0.01,0.01,0.01,0.07,40,0.161080,0.076329,0.000000,0.071085
K3_R1_2,matched,erase,0.08,0.01,0.01,0.01,0.08,40,0.105122,0.058657,0.000000,0.050296
K3_R1_2,matched,erase,0.09,0.01,0.01,0.01,0.09,40,0.059622,0.040613,0.000203,0.035641
K3_R1_2,matched,erase,0.1,0.01,0.01,0.01,0.1,40,0.034328,0.029294,0.000000,0.024894
K3_R1_2,matched,erase,0.11,0.01,0.01,0.01,0.11,40,0.019279,0.020880,0.000000,0.017410
K3_R1_2,matched,erase,0.12,0.01,0.01,0.01,0.12,40,0.011044,0.014715,0.000259,0.012380
K3_R1_2,matched,erase,0.13,0.01,0.01,0.01,0.13,40,0.011206,0.010518,0.000000,0.008413
K3_R1_2,matched,erase,0.14,0.01,0.01,0.01,0.14,40,0.006841,0.006930,0.000000,0.005811
K3_R1_2,matched,erase,0.15,0.01,0.01,0.01,0.15,40,0.001910,0.004211,0.000000,0.003997
K3_R1_2,matched,erase,0.16,0.01,0.01,0.01,0.16,40,0.001919,0.003087,0.000000,0.002737
K3_R1_2,matched,erase,0.18,0.01,0.01,0.01,0.18,40,0.001136,0.001449,0.000000,0.001266
K3_R1_2,matched,erase,0.2,0.01,0.01,0.01,0.2,40,0.000000,0.000574,0.000000,0.000574
