code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,pegged,flip,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.050987,0.675805
K3_R1_2,pegged,flip,0.004,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.027943,0.710488
K3_R1_2,pegged,flip,0.008,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.045614,0.683892
K3_R1_2,pegged,flip,0.01,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.033424,0.702238
K3_R1_2,pegged,flip,0.012,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.055100,0.669613
K3_R1_2,pegged,flip,0.014,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.022614,0.718508
K3_R1_2,pegged,flip,0.016,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.031187,0.705605
K3_R1_2,pegged,flip,0.018,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.028120,0.710221
K3_R1_2,pegged,flip,0.02,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.032782,0.703204
K3_R1_2,pegged,flip,0.024,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.031004,0.705881
K3_R1_2,pegged,flip,0.028,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.021086,0.720807
K3_R1_2,pegged,flip,0.032,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.041448,0.690161
K3_R1_2,pegged,flip,0.036,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.032082,0.704257
K3_R1_2,pegged,flip,0.04,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.039051,0.693770
K3_R1_2,pegged,flip,0.045,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.038029,0.695306
K3_R1_2,pegged,flip,0.05,0.01,0.01,0.01,0.01,4,0.999795,0.000000,0.019871,0.722637
K3_R1_2,pegged,flip,0.055,0.01,0.01,0.01,0.01,4,0.990149,0.000000,0.033464,0.702179
K3_R1_2,pegged,flip,0.06,0.01,0.01,0.01,0.01,4,0.961500,0.000000,0.022649,0.718455
K3_R1_2,pegged,flip,0.065,0.01,0.01,0.01,0.01,4,0.959702,0.000000,0.020263,0.722046
K3_R1_2,pegged,flip,0.07,0.01,0.01,0.01,0.01,4,0.853793,0.000000,0.023943,0.716508
K3_R1_2,pegged,flip,0.075,0.01,0.01,0.01,0.01,4,0.828952,0.000000,0.027139,0.711697
K3_R1_2,pegged,flip,0.08,0.01,0.01,0.01,0.01,4,0.753482,0.000000,0.042524,0.688541
K3_R1_2,pegged,flip,0.085,0.01,0.01,0.01,0.01,4,0.660179,0.000000,0.031066,0.705787
K3_R1_2,pegged,flip,0.09,0.01,0.01,0.01,0.01,4,0.574680,0.009914,0.034735,0.700264
K3_R1_2,pegged,flip,0.095,0.01,0.01,0.01,0.01,4,0.596465,0.016249,0.042626,0.688389
K3_R1_2,pegged,flip,0.1,0.01,0.01,0.01,0.01,4,0.462464,0.098068,0.051993,0.674290
K3_R1_2,pegged,flip,0.11,0.01,0.01,0.01,0.01,4,0.480061,0.092865,0.021185,0.720659
K3_R1_2,pegged,flip,0.12,0.01,0.01,0.01,0.01,4,0.266430,0.351543,0.027227,0.711565
K3_R1_2,pegged,insert,0,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.034071,0.701264
K3_R1_2,pegged,insert,0.002,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.052491,0.673541
K3_R1_2,pegged,insert,0.004,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.052133,0.674079
K3_R1_2,pegged,insert,0.006,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.026270,0.713006
K3_R1_2,pegged,insert,0.008,0.01,0.01,0.01,0.01,4,1.000000,0.000000,0.036144,0.698145
K3_R1_2,pegged,insert,0.01,0.01,0.01,0.01,0.01,4,0.999078,0.000000,0.043530,0.687028
K3_R1_2,pegged,insert,0.012,0.01,0.01,0.01,0.01,4,0.999402,0.000000,0.029902,0.707539
K3_R1_2,pegged,insert,0.015,0.01,0.01,0.01,0.01,4,0.999969,0.000000,0.032602,0.703475
K3_R1_2,pegged,insert,0.018,0.01,0.01,0.01,0.01,4,0.996366,0.000000,0.030126,0.707202
K3_R1_2,pegged,insert,0.021,0.01,0.01,0.01,0.01,4,0.977449,0.000000,0.026420,0.712780
K3_R1_2,pegged,insert,0.025,0.01,0.01,0.01,0.01,4,0.992672,0.000000,0.042385,0.688751
K3_R1_2,pegged,insert,0.029,0.01,0.01,0.01,0.01,4,0.880598,0.000000,0.030270,0.706985
K3_R1_2,pegged,insert,0.033,0.01,0.01,0.01,0.01,4,0.904333,0.000000,0.045440,0.684153
K3_R1_2,pegged,insert,0.038,0.01,0.01,0.01,0.01,4,0.906641,0.000000,0.045122,0.684631
K3_R1_2,pegged,insert,0.043,0.01,0.01,0.01,0.01,4,0.783278,0.000000,0.045866,0.683512
K3_R1_2,pegged,insert,0.05,0.01,0.01,0.01,0.01,4,0.690540,0.000000,0.039738,0.692734
K3_R1_2,pegged,insert,0.057,0.01,0.01,0.01,0.01,4,0.683587,0.000000,0.042108,0.689168
