code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,matched,flip,0,0,0.01,0.01,0.01,4,0.999939,0.000061,0.000000,0.724979
K3_R1_2,matched,flip,0.004,0.004,0.01,0.01,0.01,4,0.997416,0.002153,0.000000,0.637711
K3_R1_2,matched,flip,0.008,0.008,0.01,0.01,0.01,4,0.991434,0.008566,0.000000,0.560659
K3_R1_2,matched,flip,0.01,0.01,0.01,0.01,0.01,4,0.916849,0.054375,0.000000,0.525595
K3_R1_2,matched,flip,0.012,0.012,0.01,0.01,0.01,4,0.893703,0.071903,0.000000,0.492660
K3_R1_2,matched,flip,0.014,0.014,0.01,0.01,0.01,4,0.827288,0.096530,0.000000,0.461729
K3_R1_2,matched,flip,0.016,0.016,0.01,0.01,0.01,4,0.768056,0.122367,0.000000,0.432682
K3_R1_2,matched,flip,0.018,0.018,0.01,0.01,0.01,4,0.687710,0.147378,0.000000,0.405409
K3_R1_2,matched,flip,0.02,0.02,0.01,0.01,0.01,4,0.649526,0.163265,0.000000,0.379804
K3_R1_2,matched,flip,0.024,0.024,0.01,0.01,0.01,4,0.457333,0.206259,0.000000,0.333211
K3_R1_2,matched,flip,0.028,0.028,0.01,0.01,0.01,4,0.270460,0.227968,0.000000,0.292177
K3_R1_2,matched,flip,0.032,0.032,0.01,0.01,0.01,4,0.144750,0.239427,0.000000,0.256057
K3_R1_2,matched,flip,0.036,0.036,0.01,0.01,0.01,4,0.233798,0.188471,0.000000,0.224280
K3_R1_2,matched,flip,0.04,0.04,0.01,0.01,0.01,4,0.097065,0.193136,0.000000,0.196338
K3_R1_2,matched,flip,0.045,0.045,0.01,0.01,0.01,4,0.045512,0.168018,0.000000,0.166124
K3_R1_2,matched,flip,0.05,0.05,0.01,0.01,0.01,4,0.052165,0.139796,0.000000,0.140437
K3_R1_2,matched,flip,0.055,0.055,0.01,0.01,0.01,4,0.040322,0.122741,0.000000,0.118616
K3_R1_2,matched,flip,0.06,0.06,0.01,0.01,0.01,4,0.008861,0.103651,0.000000,0.100096
K3_R1_2,matched,flip,0.065,0.065,0.01,0.01,0.01,4,0.000000,0.084391,0.000000,0.084391
K3_R1_2,matched,flip,0.07,0.07,0.01,0.01,0.01,4,0.003925,0.074452,0.000000,0.071085
K3_R1_2,matched,flip,0.075,0.075,0.01,0.01,0.01,4,0.000000,0.059822,0.000000,0.059822
K3_R1_2,matched,flip,0.08,0.08,0.01,0.01,0.01,4,0.000000,0.050296,0.000000,0.050296
K3_R1_2,matched,flip,0.085,0.085,0.01,0.01,0.01,4,0.000000,0.042247,0.000000,0.042247
K3_R1_2,matched,flip,0.09,0.09,0.01,0.01,0.01,4,0.000000,0.035453,0.000000,0.035453
K3_R1_2,matched,flip,0.095,0.095,0.01,0.01,0.01,4,0.000000,0.029722,0.000000,0.029722
K3_R1_2,matched,flip,0.1,0.1,0.01,0.01,0.01,4,0.000000,0.024894,0.000000,0.024894
K3_R1_2,matched,flip,0.11,0.11,0.01,0.01,0.01,4,0.000000,0.017410,0.000000,0.017410
K3_R1_2,matched,flip,0.12,0.12,0.01,0.01,0.01,4,0.000000,0.012127,0.000000,0.012127
K3_R1_2,matched,insert,0,0.01,0,0.01,0.01,4,0.999939,0.000061,0.000000,0.525595
K3_R1_2,matched,insert,0.002,0.01,0.002,0.01,0.01,4,0.994494,0.003931,0.000000,0.525595
K3_R1_2,matched,insert,0.004,0.01,0.004,0.01,0.01,4,0.980992,0.014176,0.000000,0.525595
K3_R1_2,matched,insert,0.006,0.01,0.006,0.01,0.01,4,0.946032,0.037727,0.000000,0.525595
K3_R1_2,matched,insert,0.008,0.01,0.008,0.01,0.01,4,0.897045,0.063855,0.000000,0.525595
K3_R1_2,matched,insert,0.01,0.01,0.01,0.01,0.01,4,0.776221,0.129845,0.000000,0.525595
K3_R1_2,matched,insert,0.012,0.01,0.012,0.01,0.01,4,0.848215,0.096236,0.000000,0.525595
K3_R1_2,matched,insert,0.015,0.01,0.015,0.01,0.01,4,0.586470,0.237123,0.000000,0.525595
K3_R1_2,matched,insert,0.018,0.01,0.018,0.01,0.01,4,0.533550,0.265921,0.000000,0.525595
