code,variation,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,trials,coded_present,coded_absent,random_present,random_absent
K3_R1_2,pegged,flip,0,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.037515,0.696080
K3_R1_2,pegged,flip,0.004,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.036282,0.697936
K3_R1_2,pegged,flip,0.008,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.035301,0.699413
K3_R1_2,pegged,flip,0.01,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.035776,0.698697
K3_R1_2,pegged,flip,0.012,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.033691,0.701836
K3_R1_2,pegged,flip,0.014,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.034866,0.700067
K3_R1_2,pegged,flip,0.016,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.036837,0.697101
K3_R1_2,pegged,flip,0.018,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.035559,0.699024
K3_R1_2,pegged,flip,0.02,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.033424,0.702237
K3_R1_2,pegged,flip,0.024,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.035921,0.698480
K3_R1_2,pegged,flip,0.028,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.039337,0.693339
K3_R1_2,pegged,flip,0.032,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.034794,0.700176
K3_R1_2,pegged,flip,0.036,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.037824,0.695616
K3_R1_2,pegged,flip,0.04,0.01,0.01,0.01,0.01,40,1.000000,0.000000,0.034659,0.700379
K3_R1_2,pegged,flip,0.045,0.01,0.01,0.01,0.01,40,0.999893,0.000000,0.036188,0.698077
K3_R1_2,pegged,flip,0.05,0.01,0.01,0.01,0.01,40,0.999556,0.000000,0.036264,0.697964
K3_R1_2,pegged,flip,0.055,0.01,0.01,0.01,0.01,40,0.995005,0.000000,0.036436,0.697704
K3_R1_2,pegged,flip,0.06,0.01,0.01,0.01,0.01,40,0.979396,0.000000,0.033669,0.701870
K3_R1_2,pegged,flip,0.065,0.01,0.01,0.01,0.01,40,0.942506,0.000000,0.036923,0.696971
K3_R1_2,pegged,flip,0.07,0.01,0.01,0.01,0.01,40,0.897621,0.000000,0.035476,0.699150
K3_R1_2,pegged,flip,0.075,0.01,0.01,0.01,0.01,40,0.815407,0.000427,0.034120,0.701190
K3_R1_2,pegged,flip,0.08,0.01,0.01,0.01,0.01,40,0.771122,0.000997,0.035607,0.698952
