code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.0133,0.0133,0,0,0,24,0,30,119280,17,0.0001425218,,
K3_R1_2,edit,flip,0.0267,0.0267,0,0,0,24,0,30,119280,147,0.0012323944,,
K3_R1_2,edit,flip,0.04,0.04,0,0,0,24,0,30,119280,670,0.0056170355,,
K3_R1_2,edit,flip,0.0467,0.0467,0,0,0,24,0,30,119280,1200,0.010060362,,
K3_R1_2,edit,flip,0.0533,0.0533,0,0,0,24,0,30,119280,1488,0.012474849,,
K3_R1_2,edit,flip,0.06,0.06,0,0,0,24,0,30,119280,2659,0.022292086,,
K3_R1_2,edit,flip,0.0667,0.0667,0,0,0,24,0,30,119280,3004,0.02518444,,
K3_R1_2,edit,flip,0.0733,0.0733,0,0,0,24,0,30,119280,3761,0.031530852,,
K3_R1_2,edit,flip,0.08,0.08,0,0,0,24,0,30,119280,5985,0.050176056,,
K3_R1_2,edit,flip,0.0867,0.0867,0,0,0,24,0,30,119280,6393,0.053596579,,
K3_R1_2,edit,flip,0.0933,0.0933,0,0,0,24,0,30,119280,6978,0.058501006,,
K3_R1_2,edit,flip,0.1,0.1,0,0,0,24,0,30,119280,9720,0.081488934,,
K3_R1_2,edit,flip,0.11,0.11,0,0,0,24,0,30,119280,11725,0.098298122,,
K3_R1_2,edit,flip,0.12,0.12,0,0,0,24,0,30,119280,17288,0.14493628,,
K3_R1_2,edit,flip,0.13,0.13,0,0,0,24,0,30,119280,19849,0.16640677,,
K3_R1_2,edit,flip,0.14,0.14,0,0,0,24,0,30,119280,22797,0.19112173,,
K3_R1_2,edit,flip,0.15,0.15,0,0,0,24,0,30,119280,21115,0.17702046,,
K3_R1_2,edit,flip,0.16,0.16,0,0,0,24,0,30,119280,26872,0.22528504,,
K3_R1_2,edit,flip,0.1733,0.1733,0,0,0,24,0,30,119280,32489,0.27237592,,
K3_R1_2,edit,flip,0.1867,0.1867,0,0,0,24,0,30,119280,31994,0.26822602,,
K3_R1_2,edit,flip,0.2,0.2,0,0,0,24,0,30,119280,30219,0.25334507,,
K3_R1_2,edit,flip,0.2167,0.2167,0,0,0,24,0,30,119280,41254,0.34585848,,
K3_R1_2,edit,flip,0.2333,0.2333,0,0,0,24,0,30,119280,38083,0.31927398,,
K3_R1_2,edit,flip,0.25,0.25,0,0,0,24,0,30,119280,43217,0.36231556,,
K3_R1_2,edit,flip,0.2733,0.2733,0,0,0,24,0,30,119280,44770,0.37533535,,
K3_R1_2,edit,flip,0.2967,0.2967,0,0,0,24,0,30,119280,47826,0.40095573,,
K3_R1_2,edit,flip,0.32,0.32,0,0,0,24,0,30,119280,46854,0.39280684,,
K3_R1_2,edit,insert,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.0133,0.005,0.0133,0.001,0,24,8,30,119280,1210,0.010144199,,
K3_R1_2,edit,insert,0.0267,0.005,0.0267,0.001,0,24,8,30,119280,2635,0.022090879,,
K3_R1_2,edit,insert,0.04,0.005,0.04,0.001,0,24,8,30,119280,3236,0.027129443,,
K3_R1_2,edit,insert,0.0467,0.005,0.0467,0.001,0,24,8,30,119280,3915,0.032821932,,
K3_R1_2,edit,insert,0.0533,0.005,0.0533,0.001,0,24,8,30,119280,3190,0.026743796,,
K3_R1_2,edit,insert,0.06,0.005,0.06,0.001,0,24,8,30,119280,3419,0.028663649,,
K3_R1_2,edit,insert,0.0667,0.005,0.0667,0.001,0,24,8,30,119280,4371,0.036644869,,
K3_R1_2,edit,insert,0.0733,0.005,0.0733,0.001,0,24,8,30,119280,15988,0.13403756,,
K3_R1_2,edit,insert,0.08,0.005,0.08,0.001,0,24,8,30,119280,15796,0.1324279,,
K3_R1_2,edit,insert,0.09,0.005,0.09,0.001,0,24,8,30,119280,22676,0.19010731,,
K3_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,24,8,30,119280,22340,0.18729041,,
K3_R1_2,edit,insert,0.11,0.005,0.11,0.001,0,24,8,30,119280,20469,0.17160463,,
K3_R1_2,edit,insert,0.12,0.005,0.12,0.001,0,24,8,30,119280,22625,0.18967975,,
K3_R1_2,edit,insert,0.13,0.005,0.13,0.001,0,24,8,30,119280,17371,0.14563213,,
K3_R1_2,edit,insert,0.14,0.005,0.14,0.001,0,24,8,30,119280,14802,0.12409457,,
K3_R1_2,edit,insert,0.1533,0.005,0.1533,0.001,0,24,8,30,119280,18336,0.15372233,,
