code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,flip,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,118,0.00098926895,,
K3_R1_2,edit,flip,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,374,0.0031354795,,
K3_R1_2,edit,flip,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,701,0.0058769282,,
K3_R1_2,edit,flip,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,1089,0.0091297787,,
K3_R1_2,edit,flip,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,1432,0.012005366,,
K3_R1_2,edit,flip,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,1886,0.015811536,,
K3_R1_2,edit,flip,0.025,0.01,0.01,0.01,0.01,24,8,30,119280,2784,0.02334004,,
K3_R1_2,edit,flip,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,3658,0.030667337,,
K3_R1_2,edit,flip,0.035,0.01,0.01,0.01,0.01,24,8,30,119280,4447,0.037282025,,
K3_R1_2,edit,flip,0.04,0.01,0.01,0.01,0.01,24,8,30,119280,5932,0.049731724,,
K3_R1_2,edit,flip,0.045,0.01,0.01,0.01,0.01,24,8,30,119280,6830,0.057260228,,
K3_R1_2,edit,flip,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,8277,0.069391348,,
K3_R1_2,edit,flip,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,9737,0.081631455,,
K3_R1_2,edit,flip,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,12009,0.10067907,,
K3_R1_2,edit,flip,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,13495,0.11313716,,
K3_R1_2,edit,flip,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,14808,0.12414487,,
K3_R1_2,edit,flip,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,16493,0.13827129,,
