code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.1,0.1,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.2,0.2,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.3,0.3,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.4,0.4,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.45,0.45,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.47,0.47,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.48,0.48,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.49,0.49,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.5,0.5,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.51,0.51,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.52,0.52,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.53,0.53,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.55,0.55,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.58,0.58,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.62,0.62,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.67,0.67,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.72,0.72,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.78,0.78,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.85,0.85,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,flip,0.92,0.92,0,0,0,24,0,30,119280,58924,0.49399732,,
K3_R1_2,edit,flip,0.97,0.97,0,0,0,24,0,30,119280,119280,1,,
K3_R1_2,edit,insert,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.2,0.005,0.2,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.3,0.005,0.3,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.4,0.005,0.4,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.5,0.005,0.5,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.6,0.005,0.6,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.7,0.005,0.7,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.8,0.005,0.8,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.9,0.005,0.9,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.97,0.005,0.97,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.1,0.005,0.001,0.1,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.2,0.005,0.001,0.2,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.3,0.005,0.001,0.3,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.4,0.005,0.001,0.4,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.45,0.005,0.001,0.45,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.47,0.005,0.001,0.47,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.48,0.005,0.001,0.48,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.49,0.005,0.001,0.49,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.5,0.005,0.001,0.5,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.51,0.005,0.001,0.51,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.52,0.005,0.001,0.52,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.53,0.005,0.001,0.53,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.55,0.005,0.001,0.55,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.58,0.005,0.001,0.58,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.62,0.005,0.001,0.62,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.67,0.005,0.001,0.67,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.72,0.005,0.001,0.72,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.78,0.005,0.001,0.78,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,delete,0.85,0.005,0.001,0.85,0,24,8,30,119280,123750,1.0374748,,
K3_R1_2,edit,delete,0.92,0.005,0.001,0.92,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,erase,0,0.005,0,0,0.001,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.1,0.005,0,0,0.1,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.2,0.005,0,0,0.2,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.3,0.005,0,0,0.3,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.4,0.005,0,0,0.4,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.5,0.005,0,0,0.5,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.6,0.005,0,0,0.6,24,0,30,119280,120,0.0010060362,,
K3_R1_2,edit,delete,0.97,0.005,0.001,0.97,0,24,8,30,119280,126900,1.0638833,,
K3_R1_2,edit,erase,0.7,0.005,0,0,0.7,24,0,30,119280,119280,1,,
K3_R1_2,edit,erase,0.8,0.005,0,0,0.8,24,0,30,119280,119280,1,,
