code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.0133,0.0133,0,0,0,24,0,30,119280,26,0.00021797451,,
K3_R1_2,edit,flip,0.0267,0.0267,0,0,0,24,0,30,119280,188,0.0015761234,,
K3_R1_2,edit,flip,0.04,0.04,0,0,0,24,0,30,119280,776,0.0065057009,,
K3_R1_2,edit,flip,0.0467,0.0467,0,0,0,24,0,30,119280,1348,0.01130114,,
K3_R1_2,edit,flip,0.0533,0.0533,0,0,0,24,0,30,119280,1869,0.015669014,,
K3_R1_2,edit,flip,0.06,0.06,0,0,0,24,0,30,119280,2457,0.020598592,,
K3_R1_2,edit,flip,0.0667,0.0667,0,0,0,24,0,30,119280,3471,0.029099598,,
K3_R1_2,edit,flip,0.0733,0.0733,0,0,0,24,0,30,119280,4888,0.040979209,,
K3_R1_2,edit,flip,0.08,0.08,0,0,0,24,0,30,119280,6356,0.053286385,,
K3_R1_2,edit,flip,0.0867,0.0867,0,0,0,24,0,30,119280,7911,0.066322938,,
K3_R1_2,edit,flip,0.0933,0.0933,0,0,0,24,0,30,119280,7380,0.061871227,,
K3_R1_2,edit,flip,0.1,0.1,0,0,0,24,0,30,119280,11457,0.096051308,,
K3_R1_2,edit,flip,0.11,0.11,0,0,0,24,0,30,119280,11948,0.10016767,,
K3_R1_2,edit,flip,0.12,0.12,0,0,0,24,0,30,119280,18205,0.15262408,,
K3_R1_2,edit,flip,0.13,0.13,0,0,0,24,0,30,119280,16108,0.13504359,,
K3_R1_2,edit,flip,0.14,0.14,0,0,0,24,0,30,119280,24412,0.2046613,,
K3_R1_2,edit,flip,0.15,0.15,0,0,0,24,0,30,119280,20433,0.17130282,,
K3_R1_2,edit,flip,0.16,0.16,0,0,0,24,0,30,119280,29014,0.24324279,,
K3_R1_2,edit,flip,0.1733,0.1733,0,0,0,24,0,30,119280,32635,0.27359993,,
K3_R1_2,edit,flip,0.1867,0.1867,0,0,0,24,0,30,119280,29076,0.24376258,,
K3_R1_2,edit,flip,0.2,0.2,0,0,0,24,0,30,119280,32099,0.2691063,,
K3_R1_2,edit,flip,0.2167,0.2167,0,0,0,24,0,30,119280,44627,0.37413649,,
K3_R1_2,edit,flip,0.2333,0.2333,0,0,0,24,0,30,119280,46126,0.38670355,,
K3_R1_2,edit,flip,0.25,0.25,0,0,0,24,0,30,119280,48544,0.40697518,,
K3_R1_2,edit,flip,0.2733,0.2733,0,0,0,24,0,30,119280,50270,0.42144534,,
K3_R1_2,edit,flip,0.2967,0.2967,0,0,0,24,0,30,119280,51683,0.43329142,,
K3_R1_2,edit,flip,0.32,0.32,0,0,0,24,0,30,119280,45665,0.3828387,,
