code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,flip,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,71,0.0005952381,,
K3_R1_2,edit,flip,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,331,0.0027749832,,
K3_R1_2,edit,flip,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,574,0.0048122066,,
K3_R1_2,edit,flip,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,813,0.0068158954,,
K3_R1_2,edit,flip,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,1154,0.009674715,,
K3_R1_2,edit,flip,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,1457,0.012214956,,
K3_R1_2,edit,flip,0.025,0.01,0.01,0.01,0.01,24,8,30,119280,2231,0.01870389,,
K3_R1_2,edit,flip,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,2994,0.025100604,,
K3_R1_2,edit,flip,0.035,0.01,0.01,0.01,0.01,24,8,30,119280,3909,0.03277163,,
K3_R1_2,edit,flip,0.04,0.01,0.01,0.01,0.01,24,8,30,119280,5082,0.042605634,,
K3_R1_2,edit,flip,0.045,0.01,0.01,0.01,0.01,24,8,30,119280,6052,0.05073776,,
K3_R1_2,edit,flip,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,7337,0.061510731,,
K3_R1_2,edit,flip,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,8701,0.072946009,,
K3_R1_2,edit,flip,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,10893,0.091322938,,
K3_R1_2,edit,flip,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,12227,0.10250671,,
K3_R1_2,edit,flip,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,13875,0.11632294,,
K3_R1_2,edit,flip,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,15393,0.1290493,,
K3_R1_2,edit,flip,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,17906,0.15011737,,
K3_R1_2,edit,flip,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,19884,0.1667002,,
K3_R1_2,edit,flip,0.11,0.01,0.01,0.01,0.01,24,8,30,119280,22402,0.18781019,,
K3_R1_2,edit,flip,0.12,0.01,0.01,0.01,0.01,24,8,30,119280,24980,0.20942321,,
K3_R1_2,edit,flip,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,28224,0.23661972,,
K3_R1_2,edit,flip,0.1467,0.01,0.01,0.01,0.01,24,8,30,119280,30104,0.25238095,,
K3_R1_2,edit,flip,0.16,0.01,0.01,0.01,0.01,24,8,30,119280,33207,0.27839537,,
K3_R1_2,edit,flip,0.1733,0.01,0.01,0.01,0.01,24,8,30,119280,35166,0.29481891,,
K3_R1_2,edit,flip,0.1867,0.01,0.01,0.01,0.01,24,8,30,119280,37312,0.31281019,,
K3_R1_2,edit,flip,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,38668,0.3241784,,
K3_R1_2,edit,flip,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,40526,0.3397552,,
K3_R1_2,edit,flip,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,41917,0.35141683,,
K3_R1_2,edit,flip,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,42203,0.35381455,,
K3_R1_2,edit,insert,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.0017,0.01,0.01,0.01,0.01,24,8,30,119280,284,0.0023809524,,
K3_R1_2,edit,insert,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,578,0.0048457411,,
K3_R1_2,edit,insert,0.005,0.01,0.01,0.01,0.01,24,8,30,119280,847,0.007100939,,
K3_R1_2,edit,insert,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,1135,0.0095154259,,
K3_R1_2,edit,insert,0.0083,0.01,0.01,0.01,0.01,24,8,30,119280,1497,0.012550302,,
K3_R1_2,edit,insert,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,1863,0.015618712,,
K3_R1_2,edit,insert,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,2443,0.020481221,,
K3_R1_2,edit,insert,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,3116,0.026123407,,
K3_R1_2,edit,insert,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,3872,0.032461435,,
K3_R1_2,edit,insert,0.025,0.01,0.01,0.01,0.01,24,8,30,119280,5256,0.044064386,,
K3_R1_2,edit,insert,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,6304,0.052850436,,
K3_R1_2,edit,insert,0.035,0.01,0.01,0.01,0.01,24,8,30,119280,7056,0.05915493,,
K3_R1_2,edit,insert,0.04,0.01,0.01,0.01,0.01,24,8,30,119280,8438,0.070741113,,
K3_R1_2,edit,insert,0.045,0.01,0.01,0.01,0.01,24,8,30,119280,9809,0.082235077,,
K3_R1_2,edit,insert,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,10983,0.092077465,,
K3_R1_2,edit,insert,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,12389,0.10386486,,
K3_R1_2,edit,insert,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,14659,0.12289571,,
K3_R1_2,edit,insert,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,17300,0.14503689,,
K3_R1_2,edit,insert,0.08,0.01,0.01,0.01,0.01,24,8,30,119280,20016,0.16780684,,
K3_R1_2,edit,insert,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,21907,0.1836603,,
K3_R1_2,edit,insert,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,24348,0.20412475,,
K3_R1_2,edit,insert,0.1133,0.01,0.01,0.01,0.01,24,8,30,119280,27275,0.22866365,,
K3_R1_2,edit,insert,0.1267,0.01,0.01,0.01,0.01,24,8,30,119280,29801,0.24984071,,
K3_R1_2,edit,insert,0.14,0.01,0.01,0.01,0.01,24,8,30,119280,32263,0.27048122,,
K3_R1_2,edit,insert,0.16,0.01,0.01,0.01,0.01,24,8,30,119280,34856,0.29221999,,
K3_R1_2,edit,insert,0.18,0.01,0.01,0.01,0.01,24,8,30,119280,37244,0.31224011,,
K3_R1_2,edit,insert,0.2,0.01,0.01,0.01,0.01,24,8,30,119280,38713,0.32455567,,
K3_R1_2,edit,insert,0.2167,0.01,0.01,0.01,0.01,24,8,30,119280,40116,0.33631791,,
K3_R1_2,edit,insert,0.2333,0.01,0.01,0.01,0.01,24,8,30,119280,41022,0.34391348,,
K3_R1_2,edit,insert,0.25,0.01,0.01,0.01,0.01,24,8,30,119280,41703,0.34962274,,
K3_R1_2,edit,delete,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,156,0.0013078471,,
K3_R1_2,edit,delete,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,335,0.0028085178,,
K3_R1_2,edit,delete,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,674,0.0056505701,,
K3_R1_2,edit,delete,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,826,0.0069248826,,
K3_R1_2,edit,delete,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,1210,0.010144199,,
K3_R1_2,edit,delete,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,1631,0.013673709,,
K3_R1_2,edit,delete,0.0233,0.01,0.01,0.01,0.01,24,8,30,119280,1958,0.016415158,,
K3_R1_2,edit,delete,0.0267,0.01,0.01,0.01,0.01,24,8,30,119280,2682,0.022484909,,
K3_R1_2,edit,delete,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,3277,0.027473172,,
K3_R1_2,edit,delete,0.0367,0.01,0.01,0.01,0.01,24,8,30,119280,4286,0.03593226,,
K3_R1_2,edit,delete,0.0433,0.01,0.01,0.01,0.01,24,8,30,119280,5649,0.047359155,,
K3_R1_2,edit,delete,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,6994,0.058635144,,
K3_R1_2,edit,delete,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,8088,0.067806841,,
K3_R1_2,edit,delete,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,9512,0.079745137,,
K3_R1_2,edit,delete,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,10181,0.085353789,,
K3_R1_2,edit,delete,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,11851,0.09935446,,
K3_R1_2,edit,delete,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,12921,0.10832495,,
K3_R1_2,edit,delete,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,14278,0.11970154,,
K3_R1_2,edit,delete,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,16346,0.1370389,,
K3_R1_2,edit,delete,0.11,0.01,0.01,0.01,0.01,24,8,30,119280,17934,0.15035211,,
K3_R1_2,edit,delete,0.12,0.01,0.01,0.01,0.01,24,8,30,119280,19970,0.16742119,,
K3_R1_2,edit,delete,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,21873,0.18337525,,
K3_R1_2,edit,delete,0.1467,0.01,0.01,0.01,0.01,24,8,30,119280,24115,0.20217136,,
