code,metric,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock,detect_samples,mean_detect
K3_R1_2,edit,flip,0,0.01,0.01,0.01,0.01,24,8,5,4880,0,0,,,,
K3_R1_2,edit,flip,0.0033,0.01,0.01,0.01,0.01,24,8,5,4880,11,0.0022540984,,,,
K3_R1_2,edit,flip,0.0067,0.01,0.01,0.01,0.01,24,8,5,4880,35,0.0071721311,,,,
K3_R1_2,edit,flip,0.01,0.01,0.01,0.01,0.01,24,8,5,4880,57,0.011680328,,,,
K3_R1_2,edit,flip,0.0133,0.01,0.01,0.01,0.01,24,8,5,4880,71,0.01454918,,,,
K3_R1_2,edit,flip,0.0167,0.01,0.01,0.01,0.01,24,8,5,4880,102,0.020901639,,,,
K3_R1_2,edit,flip,0.02,0.01,0.01,0.01,0.01,24,8,5,4880,103,0.021106557,,,,
K3_R1_2,edit,flip,0.025,0.01,0.01,0.01,0.01,24,8,5,4880,118,0.024180328,,,,
K3_R1_2,edit,flip,0.03,0.01,0.01,0.01,0.01,24,8,5,4880,179,0.036680328,,,,
K3_R1_2,edit,flip,0.035,0.01,0.01,0.01,0.01,24,8,5,4880,313,0.064139344,,,,
K3_R1_2,edit,flip,0.04,0.01,0.01,0.01,0.01,24,8,5,4880,258,0.052868852,,,,
K3_R1_2,edit,flip,0.045,0.01,0.01,0.01,0.01,24,8,5,4880,343,0.070286885,,,,
K3_R1_2,edit,flip,0.05,0.01,0.01,0.01,0.01,24,8,5,4880,472,0.096721311,,,,
K3_R1_2,edit,flip,0.0567,0.01,0.01,0.01,0.01,24,8,5,4880,541,0.11086066,,,,
K3_R1_2,edit,flip,0.0633,0.01,0.01,0.01,0.01,24,8,5,4880,632,0.1295082,,,,
K3_R1_2,edit,flip,0.07,0.01,0.01,0.01,0.01,24,8,5,4880,725,0.14856557,,,,
K3_R1_2,edit,flip,0.0767,0.01,0.01,0.01,0.01,24,8,5,4880,760,0.1557377,,,,
K3_R1_2,edit,flip,0.0833,0.01,0.01,0.01,0.01,24,8,5,4880,888,0.18196721,,,,
K3_R1_2,edit,flip,0.09,0.01,0.01,0.01,0.01,24,8,5,4880,842,0.17254098,,,,
K3_R1_2,edit,flip,0.1,0.01,0.01,0.01,0.01,24,8,5,4880,985,0.20184426,,,,
K3_R1_2,edit,flip,0.11,0.01,0.01,0.01,0.01,24,8,5,4880,1013,0.20758197,,,,
K3_R1_2,edit,flip,0.12,0.01,0.01,0.01,0.01,24,8,5,4880,1211,0.24815574,,,,
K3_R1_2,edit,flip,0.1333,0.01,0.01,0.01,0.01,24,8,5,4880,1280,0.26229508,,,,
K3_R1_2,edit,flip,0.1467,0.01,0.01,0.01,0.01,24,8,5,4880,1339,0.27438525,,,,
K3_R1_2,edit,flip,0.16,0.01,0.01,0.01,0.01,24,8,5,4880,1401,0.28709016,,,,
K3_R1_2,edit,flip,0.1733,0.01,0.01,0.01,0.01,24,8,5,4880,1429,0.29282787,,,,
K3_R1_2,edit,flip,0.1867,0.01,0.01,0.01,0.01,24,8,5,4880,1412,0.28934426,,,,
K3_R1_2,edit,flip,0.2,0.01,0.01,0.01,0.01,24,8,5,4880,1473,0.30184426,,,,
K3_R1_2,edit,flip,0.2167,0.01,0.01,0.01,0.01,24,8,5,4880,1501,0.30758197,,,,
K3_R1_2,edit,flip,0.2333,0.01,0.01,0.01,0.01,24,8,5,4880,1518,0.31106557,,,,
K3_R1_2,edit,flip,0.25,0.01,0.01,0.01,0.01,24,8,5,4880,1581,0.32397541,,,,
K3_R1_2,edit,insert,0,0.01,0.01,0.01,0.01,24,8,5,4880,0,0,,,,
K3_R1_2,edit,insert,0.0017,0.01,0.01,0.01,0.01,24,8,5,4880,19,0.0038934426,,,,
K3_R1_2,edit,insert,0.0033,0.01,0.01,0.01,0.01,24,8,5,4880,36,0.0073770492,,,,
K3_R1_2,edit,insert,0.005,0.01,0.01,0.01,0.01,24,8,5,4880,61,0.0125,,,,
K3_R1_2,edit,insert,0.0067,0.01,0.01,0.01,0.01,24,8,5,4880,55,0.011270492,,,,
K3_R1_2,edit,insert,0.0083,0.01,0.01,0.01,0.01,24,8,5,4880,77,0.015778689,,,,
K3_R1_2,edit,insert,0.01,0.01,0.01,0.01,0.01,24,8,5,4880,130,0.026639344,,,,
K3_R1_2,edit,insert,0.0133,0.01,0.01,0.01,0.01,24,8,5,4880,144,0.029508197,,,,
K3_R1_2,edit,insert,0.0167,0.01,0.01,0.01,0.01,24,8,5,4880,205,0.042008197,,,,
