code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock,detect_samples,mean_detect
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.1,0.1,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.2,0.2,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.3,0.3,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.4,0.4,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.45,0.45,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.47,0.47,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.48,0.48,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.49,0.49,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.5,0.5,0,0,0,24,0,30,119280,119280,1,,,,
K3_R1_2,edit,flip,0.51,0.51,0,0,0,24,0,30,119280,78685,0.65966633,,,,
K3_R1_2,edit,flip,0.52,0.52,0,0,0,24,0,30,119280,50598,0.42419517,,,,
K3_R1_2,edit,flip,0.53,0.53,0,0,0,24,0,30,119280,50576,0.42401073,,,,
K3_R1_2,edit,flip,0.55,0.55,0,0,0,24,0,30,119280,78509,0.65819081,,,,
K3_R1_2,edit,flip,0.58,0.58,0,0,0,24,0,30,119280,51616,0.43272971,,,,
K3_R1_2,edit,flip,0.62,0.62,0,0,0,24,0,30,119280,34414,0.28851442,,,,
K3_R1_2,edit,flip,0.67,0.67,0,0,0,24,0,30,119280,78688,0.65969148,,,,
K3_R1_2,edit,flip,0.72,0.72,0,0,0,24,0,30,119280,55733,0.46724514,,,,
K3_R1_2,edit,flip,0.78,0.78,0,0,0,24,0,30,119280,71146,0.59646211,,,,
K3_R1_2,edit,flip,0.85,0.85,0,0,0,24,0,30,119280,78558,0.65860161,,,,
K3_R1_2,edit,flip,0.92,0.92,0,0,0,24,0,30,119280,44193,0.37049799,,,,
K3_R1_2,edit,flip,0.97,0.97,0,0,0,24,0,30,119280,54355,0.45569249,,,,
K3_R1_2,edit,insert,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.2,0.005,0.2,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.3,0.005,0.3,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.4,0.005,0.4,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.5,0.005,0.5,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.6,0.005,0.6,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.7,0.005,0.7,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.8,0.005,0.8,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.9,0.005,0.9,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.97,0.005,0.97,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.1,0.005,0.001,0.1,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.2,0.005,0.001,0.2,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.3,0.005,0.001,0.3,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.4,0.005,0.001,0.4,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.45,0.005,0.001,0.45,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.47,0.005,0.001,0.47,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.48,0.005,0.001,0.48,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.49,0.005,0.001,0.49,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.5,0.005,0.001,0.5,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,delete,0.51,0.005,0.001,0.51,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,delete,0.52,0.005,0.001,0.52,0,24,8,30,119280,124597,1.0445758,,,,
K3_R1_2,edit,delete,0.53,0.005,0.001,0.53,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,delete,0.55,0.005,0.001,0.55,0,24,8,30,119280,103073,0.86412643,,,,
K3_R1_2,edit,delete,0.58,0.005,0.001,0.58,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,delete,0.62,0.005,0.001,0.62,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,delete,0.67,0.005,0.001,0.67,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,delete,0.72,0.005,0.001,0.72,0,24,8,30,119280,122476,1.0267941,,,,
K3_R1_2,edit,delete,0.78,0.005,0.001,0.78,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,delete,0.85,0.005,0.001,0.85,0,24,8,30,119280,120944,1.0139504,,,,
K3_R1_2,edit,delete,0.92,0.005,0.001,0.92,0,24,8,30,119280,126900,1.0638833,,,,
K3_R1_2,edit,erase,0,0.005,0,0,0.001,24,0,30,119280,0,0,,,,
K3_R1_2,edit,erase,0.1,0.005,0,0,0.1,24,0,30,119280,0,0,,,,
K3_R1_2,edit,erase,0.2,0.005,0,0,0.2,24,0,30,119280,0,0,,,,
K3_R1_2,edit,erase,0.3,0.005,0,0,0.3,24,0,30,119280,0,0,,,,
K3_R1_2,edit,erase,0.4,0.005,0,0,0.4,24,0,30,119280,0,0,,,,
K3_R1_2,edit,erase,0.5,0.005,0,0,0.5,24,0,30,119280,0,0,,,,
