code,metric,axis,rate,dec_p_flip,dec_p_ins,dec_p_del,dec_p_ovr_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock,detect_samples,mean_detect
K3_R1_2,edit,flip,0.0133,0.0133,0,0,0,24,0,30,119280,24,0.00020120724,,,,
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,30,119280,0,0,,,,
K3_R1_2,edit,flip,0.0267,0.0267,0,0,0,24,0,30,119280,159,0.001332998,,,,
K3_R1_2,edit,flip,0.04,0.04,0,0,0,24,0,30,119280,564,0.0047283702,,,,
K3_R1_2,edit,flip,0.0467,0.0467,0,0,0,24,0,30,119280,1177,0.0098675386,,,,
K3_R1_2,edit,flip,0.0533,0.0533,0,0,0,24,0,30,119280,1733,0.01452884,,,,
K3_R1_2,edit,flip,0.06,0.06,0,0,0,24,0,30,119280,2280,0.019114688,,,,
K3_R1_2,edit,flip,0.0667,0.0667,0,0,0,24,0,30,119280,3424,0.028705567,,,,
K3_R1_2,edit,flip,0.0733,0.0733,0,0,0,24,0,30,119280,3663,0.030709256,,,,
K3_R1_2,edit,flip,0.08,0.08,0,0,0,24,0,30,119280,5573,0.046721999,,,,
K3_R1_2,edit,flip,0.0867,0.0867,0,0,0,24,0,30,119280,6856,0.057478203,,,,
K3_R1_2,edit,flip,0.0933,0.0933,0,0,0,24,0,30,119280,7324,0.061401744,,,,
K3_R1_2,edit,flip,0.1,0.1,0,0,0,24,0,30,119280,9965,0.083542924,,,,
K3_R1_2,edit,flip,0.11,0.11,0,0,0,24,0,30,119280,12073,0.10121563,,,,
K3_R1_2,edit,flip,0.12,0.12,0,0,0,24,0,30,119280,17007,0.14258048,,,,
K3_R1_2,edit,flip,0.13,0.13,0,0,0,24,0,30,119280,19655,0.16478035,,,,
K3_R1_2,edit,flip,0.14,0.14,0,0,0,24,0,30,119280,20624,0.17290409,,,,
K3_R1_2,edit,flip,0.15,0.15,0,0,0,24,0,30,119280,24410,0.20464453,,,,
K3_R1_2,edit,flip,0.16,0.16,0,0,0,24,0,30,119280,27103,0.22722166,,,,
K3_R1_2,edit,flip,0.1733,0.1733,0,0,0,24,0,30,119280,28920,0.24245473,,,,
K3_R1_2,edit,flip,0.1867,0.1867,0,0,0,24,0,30,119280,34156,0.28635144,,,,
K3_R1_2,edit,flip,0.2,0.2,0,0,0,24,0,30,119280,27874,0.23368545,,,,
K3_R1_2,edit,flip,0.2167,0.2167,0,0,0,24,0,30,119280,37168,0.31160295,,,,
K3_R1_2,edit,flip,0.2333,0.2333,0,0,0,24,0,30,119280,41748,0.35,,,,
K3_R1_2,edit,flip,0.25,0.25,0,0,0,24,0,30,119280,39490,0.33106975,,,,
K3_R1_2,edit,flip,0.2733,0.2733,0,0,0,24,0,30,119280,41072,0.34433266,,,,
K3_R1_2,edit,flip,0.2967,0.2967,0,0,0,24,0,30,119280,51698,0.43341717,,,,
K3_R1_2,edit,flip,0.32,0.32,0,0,0,24,0,30,119280,44796,0.37555332,,,,
K3_R1_2,edit,insert,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,insert,0.0133,0.005,0.0133,0.001,0,24,8,30,119280,1175,0.0098507713,,,,
K3_R1_2,edit,insert,0.0267,0.005,0.0267,0.001,0,24,8,30,119280,2784,0.02334004,,,,
K3_R1_2,edit,insert,0.04,0.005,0.04,0.001,0,24,8,30,119280,3238,0.027146211,,,,
K3_R1_2,edit,insert,0.0467,0.005,0.0467,0.001,0,24,8,30,119280,3909,0.03277163,,,,
K3_R1_2,edit,insert,0.0533,0.005,0.0533,0.001,0,24,8,30,119280,3006,0.025201207,,,,
K3_R1_2,edit,insert,0.06,0.005,0.06,0.001,0,24,8,30,119280,3617,0.030323608,,,,
K3_R1_2,edit,insert,0.0667,0.005,0.0667,0.001,0,24,8,30,119280,4036,0.033836351,,,,
K3_R1_2,edit,insert,0.0733,0.005,0.0733,0.001,0,24,8,30,119280,16209,0.13589034,,,,
K3_R1_2,edit,insert,0.08,0.005,0.08,0.001,0,24,8,30,119280,18464,0.15479544,,,,
K3_R1_2,edit,insert,0.09,0.005,0.09,0.001,0,24,8,30,119280,19981,0.16751341,,,,
K3_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,24,8,30,119280,19943,0.16719484,,,,
K3_R1_2,edit,insert,0.11,0.005,0.11,0.001,0,24,8,30,119280,21900,0.18360161,,,,
K3_R1_2,edit,insert,0.12,0.005,0.12,0.001,0,24,8,30,119280,23542,0.19736754,,,,
K3_R1_2,edit,insert,0.13,0.005,0.13,0.001,0,24,8,30,119280,16279,0.1364772,,,,
K3_R1_2,edit,insert,0.14,0.005,0.14,0.001,0,24,8,30,119280,17057,0.14299966,,,,
K3_R1_2,edit,insert,0.1533,0.005,0.1533,0.001,0,24,8,30,119280,18220,0.15274983,,,,
K3_R1_2,edit,insert,0.1667,0.005,0.1667,0.001,0,24,8,30,119280,21003,0.17608149,,,,
K3_R1_2,edit,insert,0.18,0.005,0.18,0.001,0,24,8,30,119280,18003,0.15093058,,,,
K3_R1_2,edit,insert,0.1933,0.005,0.1933,0.001,0,24,8,30,119280,21630,0.18133803,,,,
K3_R1_2,edit,insert,0.2067,0.005,0.2067,0.001,0,24,8,30,119280,21901,0.18360999,,,,
K3_R1_2,edit,insert,0.22,0.005,0.22,0.001,0,24,8,30,119280,26921,0.22569584,,,,
K3_R1_2,edit,insert,0.2367,0.005,0.2367,0.001,0,24,8,30,119280,27600,0.23138833,,,,
K3_R1_2,edit,insert,0.2533,0.005,0.2533,0.001,0,24,8,30,119280,31634,0.26520791,,,,
K3_R1_2,edit,insert,0.27,0.005,0.27,0.001,0,24,8,30,119280,29862,0.25035211,,,,
K3_R1_2,edit,insert,0.2867,0.005,0.2867,0.001,0,24,8,30,119280,33440,0.28034876,,,,
K3_R1_2,edit,insert,0.3033,0.005,0.3033,0.001,0,24,8,30,119280,33962,0.28472502,,,,
K3_R1_2,edit,insert,0.32,0.005,0.32,0.001,0,24,8,30,119280,44189,0.37046445,,,,
K3_R1_2,edit,delete,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,,,
K3_R1_2,edit,delete,0.0067,0.005,0.001,0.0067,0,24,8,30,119280,307,0.002573776,,,,
K3_R1_2,edit,delete,0.0133,0.005,0.001,0.0133,0,24,8,30,119280,882,0.0073943662,,,,
K3_R1_2,edit,delete,0.02,0.005,0.001,0.02,0,24,8,30,119280,1330,0.011150235,,,,
K3_R1_2,edit,delete,0.0267,0.005,0.001,0.0267,0,24,8,30,119280,2255,0.018905097,,,,
K3_R1_2,edit,delete,0.0333,0.005,0.001,0.0333,0,24,8,30,119280,4802,0.040258216,,,,
K3_R1_2,edit,delete,0.04,0.005,0.001,0.04,0,24,8,30,119280,7555,0.063338364,,,,
K3_R1_2,edit,delete,0.0467,0.005,0.001,0.0467,0,24,8,30,119280,10777,0.090350436,,,,
K3_R1_2,edit,delete,0.0533,0.005,0.001,0.0533,0,24,8,30,119280,14255,0.11950872,,,,
K3_R1_2,edit,delete,0.06,0.005,0.001,0.06,0,24,8,30,119280,17690,0.14830651,,,,
K3_R1_2,edit,delete,0.0667,0.005,0.001,0.0667,0,24,8,30,119280,11334,0.095020121,,,,
K3_R1_2,edit,delete,0.0733,0.005,0.001,0.0733,0,24,8,30,119280,13967,0.11709423,,,,
K3_R1_2,edit,delete,0.08,0.005,0.001,0.08,0,24,8,30,119280,17438,0.14619383,,,,
K3_R1_2,edit,delete,0.09,0.005,0.001,0.09,0,24,8,30,119280,19055,0.15975017,,,,
K3_R1_2,edit,delete,0.1,0.005,0.001,0.1,0,24,8,30,119280,12662,0.10615359,,,,
K3_R1_2,edit,delete,0.11,0.005,0.001,0.11,0,24,8,30,119280,15581,0.13062542,,,,
K3_R1_2,edit,delete,0.12,0.005,0.001,0.12,0,24,8,30,119280,19342,0.16215627,,,,
K3_R1_2,edit,delete,0.13,0.005,0.001,0.13,0,24,8,30,119280,20354,0.17064051,,,,
K3_R1_2,edit,delete,0.14,0.005,0.001,0.14,0,24,8,30,119280,24635,0.20653085,,,,
K3_R1_2,edit,delete,0.1533,0.005,0.001,0.1533,0,24,8,30,119280,24432,0.20482897,,,,
K3_R1_2,edit,delete,0.1667,0.005,0.001,0.1667,0,24,8,30,119280,35687,0.29918679,,,,
K3_R1_2,edit,delete,0.18,0.005,0.001,0.18,0,24,8,30,119280,36801,0.30852616,,,,
K3_R1_2,edit,delete,0.1967,0.005,0.001,0.1967,0,24,8,30,119280,33867,0.28392857,,,,
K3_R1_2,edit,delete,0.2133,0.005,0.001,0.2133,0,24,8,30,119280,29437,0.24678907,,,,
K3_R1_2,edit,delete,0.23,0.005,0.001,0.23,0,24,8,30,119280,37181,0.31171194,,,,
K3_R1_2,edit,delete,0.26,0.005,0.001,0.26,0,24,8,30,119280,49612,0.41592891,,,,
K3_R1_2,edit,delete,0.29,0.005,0.001,0.29,0,24,8,30,119280,44985,0.37713783,,,,
K3_R1_2,edit,erase,0,0.005,0,0,0.001,24,0,30,119280,0,0,,,,
K3_R1_2,edit,erase,0.1,0.005,0,0,0.1,24,0,30,119280,5,4.1918176e-05,,,,
K3_R1_2,edit,erase,0.2,0.005,0,0,0.2,24,0,30,119280,88,0.00073775989,,,,
K3_R1_2,edit,delete,0.32,0.005,0.001,0.32,0,24,8,30,119280,60000,0.50301811,,,,
K3_R1_2,edit,erase,0.3,0.005,0,0,0.3,24,0,30,119280,1393,0.011678404,,,,
K3_R1_2,edit,erase,0.34,0.005,0,0,0.34,24,0,30,119280,2951,0.024740107,,,,
K3_R1_2,edit,erase,0.38,0.005,0,0,0.38,24,0,30,119280,5962,0.049983233,,,,
K3_R1_2,edit,erase,0.42,0.005,0,0,0.42,24,0,30,119280,11138,0.093376928,,,,
K3_R1_2,edit,erase,0.4467,0.005,0,0,0.4467,24,0,30,119280,17443,0.14623575,,,,
K3_R1_2,edit,erase,0.4733,0.005,0,0,0.4733,24,0,30,119280,22939,0.19231221,,,,
K3_R1_2,edit,erase,0.5,0.005,0,0,0.5,24,0,30,119280,30940,0.25938967,,,,
K3_R1_2,edit,erase,0.5267,0.005,0,0,0.5267,24,0,30,119280,39718,0.33298122,,,,
K3_R1_2,edit,erase,0.5533,0.005,0,0,0.5533,24,0,30,119280,49179,0.41229879,,,,
K3_R1_2,edit,erase,0.58,0.005,0,0,0.58,24,0,30,119280,58815,0.4930835,,,,
K3_R1_2,edit,erase,0.6033,0.005,0,0,0.6033,24,0,30,119280,67911,0.56934105,,,,
K3_R1_2,edit,erase,0.6267,0.005,0,0,0.6267,24,0,30,119280,75546,0.6333501,,,,
K3_R1_2,edit,erase,0.65,0.005,0,0,0.65,24,0,30,119280,82091,0.68822099,,,,
K3_R1_2,edit,erase,0.6733,0.005,0,0,0.6733,24,0,30,119280,89702,0.75202884,,,,
K3_R1_2,edit,erase,0.6967,0.005,0,0,0.6967,24,0,30,119280,94987,0.79633635,,,,
K3_R1_2,edit,erase,0.72,0.005,0,0,0.72,24,0,30,119280,99974,0.83814554,,,,
K3_R1_2,edit,erase,0.7433,0.005,0,0,0.7433,24,0,30,119280,104233,0.87385144,,,,
K3_R1_2,edit,erase,0.7667,0.005,0,0,0.7667,24,0,30,119280,107818,0.90390677,,,,
K3_R1_2,edit,erase,0.79,0.005,0,0,0.79,24,0,30,119280,110448,0.92595573,,,,
K3_R1_2,edit,erase,0.8133,0.005,0,0,0.8133,24,0,30,119280,112698,0.94481891,,,,
K3_R1_2,edit,erase,0.8367,0.005,0,0,0.8367,24,0,30,119280,114643,0.96112508,,,,
K3_R1_2,edit,erase,0.86,0.005,0,0,0.86,24,0,30,119280,116101,0.97334842,,,,
K3_R1_2,edit,erase,0.88,0.005,0,0,0.88,24,0,30,119280,116916,0.98018109,,,,
K3_R1_2,edit,erase,0.9,0.005,0,0,0.9,24,0,30,119280,117854,0.98804494,,,,
K3_R1_2,lock,flip,0,0.001,0,0,0,24,0,30,,,,118590,0.99997315,,
K3_R1_2,lock,flip,0.0133,0.0133,0,0,0,24,0,30,,,,118590,0.97288318,,
K3_R1_2,lock,flip,0.0267,0.0267,0,0,0,24,0,30,,,,118590,0.96025997,,
K3_R1_2,lock,flip,0.04,0.04,0,0,0,24,0,30,,,,118590,0.95159692,,
K3_R1_2,lock,flip,0.05,0.05,0,0,0,24,0,30,,,,118590,0.94886068,,
K3_R1_2,lock,flip,0.06,0.06,0,0,0,24,0,30,,,,118590,0.94812161,,
K3_R1_2,lock,flip,0.07,0.07,0,0,0,24,0,30,,,,118590,0.94729496,,
K3_R1_2,edit,erase,0.92,0.005,0,0,0.92,24,0,30,119280,118365,0.99232897,,,,
K3_R1_2,lock,flip,0.08,0.08,0,0,0,24,0,30,,,,118590,0.94783818,,
K3_R1_2,lock,flip,0.09,0.09,0,0,0,24,0,30,,,,118590,0.95070447,,
K3_R1_2,lock,flip,0.1,0.1,0,0,0,24,0,30,,,,118590,0.95422719,,
K3_R1_2,lock,flip,0.1133,0.1133,0,0,0,24,0,30,,,,118590,0.96389502,,
K3_R1_2,lock,flip,0.1267,0.1267,0,0,0,24,0,30,,,,118590,0.97561112,,
K3_R1_2,lock,flip,0.14,0.14,0,0,0,24,0,30,,,,118590,0.98619367,,
K3_R1_2,lock,flip,0.16,0.16,0,0,0,24,0,30,,,,118590,0.99765167,,
K3_R1_2,lock,flip,0.18,0.18,0,0,0,24,0,30,,,,118590,0.99998547,,
K3_R1_2,lock,flip,0.2,0.2,0,0,0,24,0,30,,,,118590,1,,
K3_R1_2,lock,flip,0.25,0.25,0,0,0,24,0,30,,,,118590,1,,
K3_R1_2,lock,flip,0.3,0.3,0,0,0,24,0,30,,,,118590,1,,
K3_R1_2,lock,flip,0.35,0.35,0,0,0,24,0,30,,,,118590,1,,
K3_R1_2,lock,flip,0.5667,0.5667,0,0,0,24,0,30,,,,118590,1,,
K3_R1_2,lock,flip,0.7833,0.7833,0,0,0,24,0,30,,,,118590,1,,
K3_R1_2,lock,flip,1,0.999,0,0,0,24,0,30,,,,118590,0.99997315,,
K3_R1_2,lock,insert,0,0.005,0.001,0.001,0,24,8,30,,,,118470,1,,
K3_R1_2,lock,insert,0.0133,0.005,0.0133,0.001,0,24,8,30,,,,118609,0.97001178,,
K3_R1_2,lock,insert,0.0267,0.005,0.0267,0.001,0,24,8,30,,,,118830,0.94684331,,
K3_R1_2,lock,insert,0.04,0.005,0.04,0.001,0,24,8,30,,,,119194,0.92652069,,
K3_R1_2,lock,insert,0.0533,0.005,0.0533,0.001,0,24,8,30,,,,119735,0.90652144,,
K3_R1_2,lock,insert,0.0667,0.005,0.0667,0.001,0,24,8,30,,,,120433,0.88965634,,
K3_R1_2,lock,insert,0.08,0.005,0.08,0.001,0,24,8,30,,,,120938,0.87583471,,
K3_R1_2,lock,insert,0.0967,0.005,0.0967,0.001,0,24,8,30,,,,121880,0.85986213,,
