code,metric,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.1,0.1,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.2,0.2,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.3,0.3,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.4,0.4,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.45,0.45,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.47,0.47,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.48,0.48,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.49,0.49,0,0,0,24,0,30,119280,0,0,,
K3_R1_2,edit,flip,0.5,0.5,0,0,0,24,0,30,119280,59709,0.50057847,,
K3_R1_2,edit,flip,0.51,0.51,0,0,0,24,0,30,119280,27178,0.22785044,,
K3_R1_2,edit,flip,0.52,0.52,0,0,0,24,0,30,119280,27457,0.23018947,,
K3_R1_2,edit,flip,0.53,0.53,0,0,0,24,0,30,119280,27175,0.22782529,,
K3_R1_2,edit,flip,0.55,0.55,0,0,0,24,0,30,119280,27264,0.22857143,,
K3_R1_2,edit,flip,0.58,0.58,0,0,0,24,0,30,119280,27134,0.22748156,,
K3_R1_2,edit,flip,0.62,0.62,0,0,0,24,0,30,119280,27250,0.22845406,,
K3_R1_2,edit,flip,0.67,0.67,0,0,0,24,0,30,119280,27225,0.22824447,,
K3_R1_2,edit,flip,0.72,0.72,0,0,0,24,0,30,119280,27221,0.22821093,,
K3_R1_2,edit,flip,0.78,0.78,0,0,0,24,0,30,119280,27332,0.22914152,,
K3_R1_2,edit,flip,0.85,0.85,0,0,0,24,0,30,119280,27083,0.22705399,,
K3_R1_2,edit,flip,0.92,0.92,0,0,0,24,0,30,119280,34420,0.28856472,,
K3_R1_2,edit,flip,0.97,0.97,0,0,0,24,0,30,119280,27360,0.22937626,,
K3_R1_2,edit,insert,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.2,0.005,0.2,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.3,0.005,0.3,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.4,0.005,0.4,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.5,0.005,0.5,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.6,0.005,0.6,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.7,0.005,0.7,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.8,0.005,0.8,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.9,0.005,0.9,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,insert,0.97,0.005,0.97,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0,0.005,0.001,0.001,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.1,0.005,0.001,0.1,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.2,0.005,0.001,0.2,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.3,0.005,0.001,0.3,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.4,0.005,0.001,0.4,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.45,0.005,0.001,0.45,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.47,0.005,0.001,0.47,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.48,0.005,0.001,0.48,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.49,0.005,0.001,0.49,0,24,8,30,119280,0,0,,
K3_R1_2,edit,delete,0.5,0.005,0.001,0.5,0,24,8,30,119280,43919,0.36820087,,
K3_R1_2,edit,delete,0.51,0.005,0.001,0.51,0,24,8,30,119280,47402,0.39740107,,
K3_R1_2,edit,delete,0.52,0.005,0.001,0.52,0,24,8,30,119280,38567,0.32333166,,
K3_R1_2,edit,delete,0.53,0.005,0.001,0.53,0,24,8,30,119280,41147,0.34496144,,
K3_R1_2,edit,delete,0.55,0.005,0.001,0.55,0,24,8,30,119280,47113,0.3949782,,
K3_R1_2,edit,delete,0.58,0.005,0.001,0.58,0,24,8,30,119280,46703,0.39154091,,
K3_R1_2,edit,delete,0.62,0.005,0.001,0.62,0,24,8,30,119280,38651,0.32403588,,
K3_R1_2,edit,delete,0.67,0.005,0.001,0.67,0,24,8,30,119280,46327,0.38838867,,
K3_R1_2,edit,delete,0.72,0.005,0.001,0.72,0,24,8,30,119280,38300,0.32109323,,
K3_R1_2,edit,delete,0.78,0.005,0.001,0.78,0,24,8,30,119280,41590,0.34867539,,
K3_R1_2,edit,delete,0.85,0.005,0.001,0.85,0,24,8,30,119280,43235,0.36246647,,
K3_R1_2,edit,delete,0.92,0.005,0.001,0.92,0,24,8,30,119280,36354,0.30477867,,
K3_R1_2,edit,erase,0,0.005,0,0,0.001,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.1,0.005,0,0,0.1,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.2,0.005,0,0,0.2,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.3,0.005,0,0,0.3,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.4,0.005,0,0,0.4,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.5,0.005,0,0,0.5,24,0,30,119280,0,0,,
K3_R1_2,edit,erase,0.6,0.005,0,0,0.6,24,0,30,119280,0,0,,
K3_R1_2,edit,delete,0.97,0.005,0.001,0.97,0,24,8,30,119280,43824,0.36740443,,
K3_R1_2,edit,erase,0.7,0.005,0,0,0.7,24,0,30,119280,0,0,,
