code,metric,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0.06,0.06,0,0,0,24,0,1,276,0,0,,
K3_R1_2,edit,flip,0.12,0.12,0,0,0,24,0,1,276,17,0.061594203,,
K3_R1_2,edit,flip,0,0.001,0,0,0,24,0,1,276,0,0,,
K3_R1_2,edit,flip,0.22,0.22,0,0,0,24,0,1,276,69,0.25,,
K3_R1_2,edit,insert,0.05,0.005,0.05,0.001,0,24,8,1,276,7,0.025362319,,
K3_R1_2,edit,erase,0,0.005,0,0,0.001,24,0,1,276,0,0,,
K3_R1_2,edit,erase,0.25,0.005,0,0,0.25,24,0,1,276,0,0,,
K3_R1_2,edit,delete,0.16,0.005,0.001,0.16,0,24,8,1,276,32,0.11594203,,
K3_R1_2,edit,erase,0.5,0.005,0,0,0.5,24,0,1,276,19,0.06884058,,
K3_R1_2,lock,flip,0,0.001,0,0,0,24,0,1,,,,253,0.99958046
K3_R1_2,lock,flip,0.06,0.06,0,0,0,24,0,1,,,,253,0.94598307
K3_R1_2,edit,delete,0.05,0.005,0.001,0.05,0,24,8,1,276,23,0.083333333,,
K3_R1_2,edit,delete,0,0.005,0.001,0.001,0,24,8,1,276,0,0,,
K3_R1_2,lock,flip,0.12,0.12,0,0,0,24,0,1,,,,253,0.95771214
K3_R1_2,lock,flip,0.22,0.22,0,0,0,24,0,1,,,,253,1
K3_R1_2,edit,erase,0.7,0.005,0,0,0.7,24,0,1,276,94,0.34057971,,
K3_R1_2,edit,insert,0,0.005,0.001,0.001,0,24,8,1,276,0,0,,
K3_R1_2,edit,insert,0.18,0.005,0.18,0.001,0,24,8,1,276,40,0.14492754,,
K3_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,24,8,1,276,25,0.09057971,,
K3_R1_2,edit,delete,0.1,0.005,0.001,0.1,0,24,8,1,276,11,0.039855072,,
K3_R1_2,lock,insert,0.1,0.005,0.1,0.001,0,24,8,1,,,,253,0.83296801
K3_R1_2,lock,erase,0,0.005,0,0,0.001,24,0,1,,,,253,1
K3_R1_2,lock,erase,0.15,0.005,0,0,0.15,24,0,1,,,,253,0.99020988
K3_R1_2,lock,erase,0.3,0.005,0,0,0.3,24,0,1,,,,253,0.98322577
K3_R1_2,lock,erase,0.5,0.005,0,0,0.5,24,0,1,,,,253,1
K3_R1_2,lock,insert,0,0.005,0.001,0.001,0,24,8,1,,,,249,1
K3_R1_2,lock,insert,0.05,0.005,0.05,0.001,0,24,8,1,,,,251,0.93047586
K7_R1_2,edit,flip,0,0.001,0,0,0,56,0,1,244,0,0,,
K3_R1_2,lock,insert,0.18,0.005,0.18,0.001,0,24,8,1,,,,262,0.82464855
K7_R1_2,edit,flip,0.06,0.06,0,0,0,56,0,1,244,0,0,,
K7_R1_2,edit,flip,0.12,0.12,0,0,0,56,0,1,244,39,0.15983607,,
K7_R1_2,edit,flip,0.22,0.22,0,0,0,56,0,1,244,76,0.31147541,,
K3_R1_2,lock,delete,0,0.005,0.001,0.001,0,24,8,1,,,,249,1
K3_R1_2,lock,delete,0.1,0.005,0.001,0.1,0,24,8,1,,,,239,0.85877229
K3_R1_2,lock,delete,0.16,0.005,0.001,0.16,0,24,8,1,,,,232,0.88949369
K3_R1_2,lock,delete,0.05,0.005,0.001,0.05,0,24,8,1,,,,247,0.91871475
K7_R1_2,edit,insert,0.1,0.005,0.1,0.001,0,56,8,1,244,4,0.016393443,,
K7_R1_2,edit,erase,0,0.005,0,0,0.001,56,0,1,244,0,0,,
K7_R1_2,edit,erase,0.25,0.005,0,0,0.25,56,0,1,244,0,0,,
K7_R1_2,edit,insert,0.05,0.005,0.05,0.001,0,56,8,1,244,3,0.012295082,,
K7_R1_2,edit,delete,0.05,0.005,0.001,0.05,0,56,8,1,244,20,0.081967213,,
K7_R1_2,edit,erase,0.5,0.005,0,0,0.5,56,0,1,244,26,0.10655738,,
K7_R1_2,lock,flip,0,0.001,0,0,0,56,0,1,,,,193,0.99876296
K7_R1_2,lock,flip,0.06,0.06,0,0,0,56,0,1,,,,193,0.9510879
K7_R1_2,edit,insert,0.18,0.005,0.18,0.001,0,56,8,1,244,76,0.31147541,,
K7_R1_2,edit,erase,0.7,0.005,0,0,0.7,56,0,1,244,84,0.3442623,,
K7_R1_2,lock,flip,0.22,0.22,0,0,0,56,0,1,,,,193,1
K7_R1_2,lock,flip,0.12,0.12,0,0,0,56,0,1,,,,193,0.98635734
K7_R1_2,edit,insert,0,0.005,0.001,0.001,0,56,8,1,244,0,0,,
K7_R1_2,edit,delete,0,0.005,0.001,0.001,0,56,8,1,244,0,0,,
K7_R1_2,edit,delete,0.16,0.005,0.001,0.16,0,56,8,1,244,67,0.27459016,,
K7_R1_2,edit,delete,0.1,0.005,0.001,0.1,0,56,8,1,244,7,0.028688525,,
