code,metric,axis,rate,dec_p_sub,dec_p_ins,dec_p_del,dec_p_erase,decision_depth,max_drift,trials,ref_bits,edit_distance,edit_rate,lock_bits,mean_lock
K3_R1_2,edit,flip,0,0.01,0.01,0.01,0.01,24,8,30,119280,0,0,,
K3_R1_2,edit,flip,0.0033,0.01,0.01,0.01,0.01,24,8,30,119280,375,0.0031438632,,
K3_R1_2,edit,flip,0.0067,0.01,0.01,0.01,0.01,24,8,30,119280,808,0.0067739772,,
K3_R1_2,edit,flip,0.01,0.01,0.01,0.01,0.01,24,8,30,119280,1408,0.011804158,,
K3_R1_2,edit,flip,0.0133,0.01,0.01,0.01,0.01,24,8,30,119280,1891,0.015853454,,
K3_R1_2,edit,flip,0.0167,0.01,0.01,0.01,0.01,24,8,30,119280,2615,0.021923206,,
K3_R1_2,edit,flip,0.02,0.01,0.01,0.01,0.01,24,8,30,119280,3359,0.02816063,,
K3_R1_2,edit,flip,0.025,0.01,0.01,0.01,0.01,24,8,30,119280,4847,0.04063548,,
K3_R1_2,edit,flip,0.03,0.01,0.01,0.01,0.01,24,8,30,119280,6498,0.054476861,,
K3_R1_2,edit,flip,0.035,0.01,0.01,0.01,0.01,24,8,30,119280,7978,0.066884641,,
K3_R1_2,edit,flip,0.04,0.01,0.01,0.01,0.01,24,8,30,119280,9948,0.083400402,,
K3_R1_2,edit,flip,0.045,0.01,0.01,0.01,0.01,24,8,30,119280,11564,0.096948357,,
K3_R1_2,edit,flip,0.05,0.01,0.01,0.01,0.01,24,8,30,119280,13083,0.1096831,,
K3_R1_2,edit,flip,0.0567,0.01,0.01,0.01,0.01,24,8,30,119280,15022,0.12593897,,
K3_R1_2,edit,flip,0.0633,0.01,0.01,0.01,0.01,24,8,30,119280,17623,0.1477448,,
K3_R1_2,edit,flip,0.07,0.01,0.01,0.01,0.01,24,8,30,119280,19392,0.16257545,,
K3_R1_2,edit,flip,0.0767,0.01,0.01,0.01,0.01,24,8,30,119280,21061,0.17656774,,
K3_R1_2,edit,flip,0.0833,0.01,0.01,0.01,0.01,24,8,30,119280,22500,0.18863179,,
K3_R1_2,edit,flip,0.09,0.01,0.01,0.01,0.01,24,8,30,119280,25487,0.21367371,,
K3_R1_2,edit,flip,0.1,0.01,0.01,0.01,0.01,24,8,30,119280,27001,0.22636653,,
K3_R1_2,edit,flip,0.11,0.01,0.01,0.01,0.01,24,8,30,119280,28868,0.24201878,,
K3_R1_2,edit,flip,0.12,0.01,0.01,0.01,0.01,24,8,30,119280,30639,0.2568662,,
K3_R1_2,edit,flip,0.1333,0.01,0.01,0.01,0.01,24,8,30,119280,33037,0.27697015,,
K3_R1_2,edit,flip,0.1467,0.01,0.01,0.01,0.01,24,8,30,119280,33328,0.27940979,,
K3_R1_2,edit,flip,0.16,0.01,0.01,0.01,0.01,24,8,30,119280,35636,0.29875922,,
