code,metric,axis,rate,trials,ref_bits,edit_distance,edit_rate
K3_R1_2,edit,flip,0,8,16000,0,0
K3_R1_2,edit,flip,0.01,8,16000,0,0
K3_R1_2,edit,flip,0.035,8,16000,34,0.002125
K3_R1_2,edit,flip,0.02,8,16000,7,0.0004375
K3_R1_2,edit,flip,0.05,8,16000,100,0.00625
K3_R1_2,edit,flip,0.07,8,16000,345,0.0215625
K3_R1_2,edit,flip,0.09,8,16000,738,0.046125
K3_R1_2,edit,flip,0.12,8,16000,1416,0.0885
K3_R1_2,edit,flip,0.16,8,16000,2436,0.15225
K3_R1_2,edit,erase,0,8,16000,0,0
K3_R1_2,edit,erase,0.2,8,16000,7,0.0004375
K3_R1_2,edit,erase,0.35,8,16000,197,0.0123125
K3_R1_2,edit,flip,0.2,8,16000,3325,0.2078125
K3_R1_2,edit,erase,0.45,8,16000,971,0.0606875
K3_R1_2,edit,erase,0.55,8,16000,2695,0.1684375
K3_R1_2,edit,erase,0.62,8,16000,3742,0.233875
K3_R1_2,edit,erase,0.7,8,16000,4869,0.3043125
K3_R1_2,edit,erase,0.78,8,16000,5653,0.3533125
K3_R1_2,edit,erase,0.85,8,16000,6332,0.39575
K7_R1_2,edit,flip,0,8,16000,0,0
K7_R1_2,edit,flip,0.01,8,16000,0,0
K3_R1_2,edit,erase,0.92,8,16000,7087,0.4429375
K7_R1_2,edit,flip,0.02,8,16000,0,0
K7_R1_2,edit,flip,0.035,8,16000,14,0.000875
K7_R1_2,edit,flip,0.05,8,16000,47,0.0029375
K7_R1_2,edit,flip,0.07,8,16000,188,0.01175
K7_R1_2,edit,flip,0.09,8,16000,694,0.043375
K7_R1_2,edit,flip,0.12,8,16000,1870,0.116875
K7_R1_2,edit,flip,0.16,8,16000,3822,0.238875
K7_R1_2,edit,erase,0,8,16000,0,0
K7_R1_2,edit,erase,0.2,8,16000,0,0
K7_R1_2,edit,flip,0.2,8,16000,4413,0.2758125
K7_R1_2,edit,erase,0.35,8,16000,20,0.00125
K7_R1_2,edit,erase,0.45,8,16000,781,0.0488125
K7_R1_2,edit,erase,0.55,8,16000,3918,0.244875
K7_R1_2,edit,erase,0.62,8,16000,4812,0.30075
K7_R1_2,edit,erase,0.7,8,16000,5200,0.325
K7_R1_2,edit,erase,0.78,8,16000,5740,0.35875
K7_R1_2,edit,erase,0.85,8,16000,6321,0.3950625
K7_R1_3,edit,flip,0,8,16000,0,0
K7_R1_3,edit,flip,0.01,8,16000,0,0
K7_R1_2,edit,erase,0.92,8,16000,7152,0.447
K7_R1_3,edit,flip,0.02,8,16000,0,0
K7_R1_3,edit,flip,0.035,8,16000,0,0
K7_R1_3,edit,flip,0.05,8,16000,0,0
K7_R1_3,edit,flip,0.07,8,16000,0,0
K7_R1_3,edit,flip,0.09,8,16000,8,0.0005
K7_R1_3,edit,flip,0.12,8,16000,143,0.0089375
K7_R1_3,edit,flip,0.16,8,16000,984,0.0615
K7_R1_3,edit,flip,0.2,8,16000,2936,0.1835
K7_R1_3,edit,erase,0,8,16000,0,0
K7_R1_3,edit,erase,0.2,8,16000,0,0
K7_R1_3,edit,erase,0.35,8,16000,0,0
K7_R1_3,edit,erase,0.45,8,16000,0,0
K7_R1_3,edit,erase,0.55,8,16000,61,0.0038125
K7_R1_3,edit,erase,0.62,8,16000,704,0.044
K7_R1_3,edit,erase,0.7,8,16000,3499,0.2186875
K7_R1_3,edit,erase,0.78,8,16000,5000,0.3125
K7_R1_3,edit,erase,0.85,8,16000,5803,0.3626875
K5_R1_5,edit,flip,0,8,16000,0,0
K5_R1_5,edit,flip,0.01,8,16000,0,0
K5_R1_5,edit,flip,0.02,8,16000,0,0
K5_R1_5,edit,flip,0.035,8,16000,0,0
K5_R1_5,edit,flip,0.05,8,16000,0,0
K5_R1_5,edit,flip,0.07,8,16000,0,0
K5_R1_5,edit,flip,0.09,8,16000,0,0
K7_R1_3,edit,erase,0.92,8,16000,6661,0.4163125
K5_R1_5,edit,flip,0.12,8,16000,1,6.25e-05
K5_R1_5,edit,flip,0.16,8,16000,75,0.0046875
K5_R1_5,edit,flip,0.2,8,16000,355,0.0221875
K5_R1_5,edit,erase,0,8,16000,0,0
K5_R1_5,edit,erase,0.2,8,16000,0,0
K5_R1_5,edit,erase,0.35,8,16000,0,0
K5_R1_5,edit,erase,0.55,8,16000,0,0
K5_R1_5,edit,erase,0.45,8,16000,0,0
K5_R1_5,edit,erase,0.62,8,16000,3,0.0001875
K5_R1_5,edit,erase,0.7,8,16000,89,0.0055625
K5_R1_5,edit,erase,0.78,8,16000,1370,0.085625
K5_R1_5,edit,erase,0.85,8,16000,4207,0.2629375
K5_R1_5,edit,erase,0.92,8,16000,5987,0.3741875
